address,city,state,zipCode,endecaId,isPaid,geoCode,isCurrentSpotlight,lastUpdate,listingId,listingType,listingPriceHigh,listingPriceLow,listingBedHigh,listingBedLow,listingBathHigh,listingBathLow,halfBaths,unitSqFt,listingSeoPath,desktopPhone,mPhone,nearbyListings,neighborhoods,noVacancy,photos,propertyName,propertyLabel,propertyType,recommendedListings,revenue,tplSource,mgtCoName,hasagHdTour,hasHdTour,hasHdVideo,hasUGVideos,aggregates.prices.low,aggregates.prices.high,aggregates.beds.low,aggregates.beds.high,aggregates.baths.low,aggregates.baths.high,aggregates.totalAvailable
601 Pennsylvania Ave NW,Washington,DC,20004,r3077291,True,"38.893589,-77.020398",False,2020-05-24T18:47:37.907Z,r3077291,Apartments,3895,3895,2,2,2,2,0,[1330],Apartments/District-of-Columbia/Washington/r3077291,8443491729,8443491729,"['r3090524', 'r3090683', 'r2859558', 'r3084233']",,,"[{'path': '/imgr/d9abe695cb028b4243a204eafdc691b5/', 'caption': 'dc6692521a.jpg'}]",,601 Pennsylvania Ave NW,,,no_value_available,RentClicks.com,MattKasap,False,False,False,False,3895,3895,2,2,2,2,
575 12 Th Road South ACADIA AT METROPOLITAN PARK 16,Arlington,VA,22202,r3047720,True,"38.862444,-77.056145",False,2020-06-26T08:04:43.760Z,r3047720,Apartments,2709,2709,1,1,1,1,0,[748],Apartments/Virginia/Arlington/r3047720,8448843120,8448843120,"['r3089562', 'r3075465', 'r3058939', 'r2967259']",,,"[{'path': '/imgr/3089daa291abfdc0cdfb5ddd0084bc32/', 'caption': None}]",,575 12th Road South ACADIA AT METROPOLITAN PARK 16,,,no_value_available,RentClicks.com,Landing,False,False,False,False,2709,2709,1,1,1,1,
1201 Half St SE WEST HALF 226,Washington,DC,20003,r3055160,True,"38.875226,-77.008096",False,2020-06-20T11:00:24.307Z,r3055160,Apartments,2438,2438,1,1,1,1,0,[612],Apartments/District-of-Columbia/Washington/r3055160,8558960592,8558960592,"['r3091002', 'r3091006', 'r3075465', 'r3084541']",,,"[{'path': '/imgr/c7000d12aa49a8a69d86ed0749bfb7f1/', 'caption': None}]",,1201 Half St SE WEST HALF 226,,,no_value_available,RentClicks.com,Landing,False,False,False,False,2438,2438,1,1,1,1,
8601 Washington Ave,Alexandria,VA,22309,r3093301,True,"38.724501,-77.104940",False,2020-06-26T02:20:23.640Z,r3093301,Houses And Homes,3200,3200,4,4,3,3,0,[1951],Virginia/Alexandria/r3093301,8444356057,8444356057,,,,"[{'path': '/imgr/011a31bfed640a841396e6eacf5df413/', 'caption': 'C883576D-BE8E-4A6D-9BDB-3F895C929F50.jpeg'}]",,8601 Washington Ave,,,no_value_available,RentClicks.com,None,False,False,False,False,3200,3200,4,4,3,3,
1806 1st Street NW,Washington,DC,20001,r3093059,True,"38.914406,-77.012443",False,2020-06-24T03:35:05.750Z,r3093059,Apartments,1725,1725,1,1,1,1,0,[600],Apartments/District-of-Columbia/Washington/r3093059,8448797508,8448797508,,,,"[{'path': '/imgr/a3ffb273a390d5196664531af110f53c/', 'caption': 'BF7D78D6-12C3-4F52-9415-90EF056D262A.jpeg'}]",,1806 1st Street NW,,,no_value_available,RentClicks.com,SharonMarsh,False,False,False,False,1725,1725,1,1,1,1,
300 Juneberry Way,Glen Burnie,MD,20761,r3092827,True,"39.195799,-76.620196",False,2020-06-22T23:46:21.960Z,r3092827,,1450,1450,2,2,2,2,0,[1055],Maryland/Glen-Burnie/r3092827,8555988224,8555988224,,,,"[{'path': '/imgr/f47b0507a87458594d6d10e29aa04773/', 'caption': 'IMG_2026 condo family room.jpg'}]",,300 Juneberry Way,,,no_value_available,RentClicks.com,Nadine Vatel,False,False,False,False,1450,1450,2,2,2,2,
6652 Midhill Place,Falls Church,VA,22043,r3092168,True,"38.909423,-77.170948",False,2020-06-19T05:10:16.153Z,r3092168,Townhouses And Condos,3300,3300,4,4,3,3,1,[2400],Virginia/Falls-Church/r3092168,8447834212,8447834212,"['r3089332', 'r3090985', 'r3090986', 'r3090631']",,,"[{'path': '/imgr/aab8f9aeac7805ba68f70cc83cbf458f/', 'caption': '1.jpg'}]",,6652 Midhill Place,,,no_value_available,RentClicks.com,IuliiaMironova,False,False,False,False,3300,3300,4,4,3,3,
10547 Pineview Rd,Manassas Va,VA,20111,r3092102,True,"38.727386,-77.430865",False,2020-06-19T16:05:10.847Z,r3092102,Houses And Homes,2250,2250,3,3,2,2,0,[2000],Virginia/Manassas/r3092102,7033037479,7033037479,"['r3087519', 'r2993284', 'r3090310', 'r3088106']",,,"[{'path': '/imgr/639f28de2ac068a059963784b1e3e3e9/', 'caption': 'DSC05182.JPG'}]",,10547 Pineview Rd.,,,no_value_available,RentClicks.com,FrankMoore,False,False,False,False,2250,2250,3,3,2,2,
Fernwod Rd,Bethesda,MD,20817,r3091837,True,"39.010559,-77.133280",False,2020-06-19T14:41:26.140Z,r3091837,Houses And Homes,4000,4000,4,4,4,4,1,[3000],Maryland/Bethesda/r3091837,8442460501,8442460501,"['r3091185', 'r3084705', 'r2969503', 'r3083946']",,,"[{'path': '/imgr/b18aa9a7205722112213f7150a1c91c5/', 'caption': 'IMG_0738.jpeg'}]",,Fernwod Rd.,,,no_value_available,RentClicks.com,CorinaMillo,False,False,False,False,4000,4000,4,4,4,4,
2059 Huntington Avenue 610,Alexandria,VA,22303,r3089470,True,"38.790011,-77.066854",False,2020-06-18T21:25:08.160Z,r3089470,Apartments,1350,1350,0,0,1,1,0,[550],Apartments/Virginia/Alexandria/r3089470,8442756815,8442756815,"['r3081330', 'r3091024', 'r3091025', 'r3091026']",,,"[{'path': '/imgr/02671da447ce55d6dcdb47cb5469a8a6/', 'caption': 'IMG_0022.JPEG'}]",,2059 Huntington Avenue #610,,,no_value_available,RentClicks.com,JamieFurlan,False,False,False,False,1350,1350,0,0,1,1,
601 23rd St S,Arlington,VA,22202,r3089562,True,"38.853566,-77.055479",False,2020-06-09T09:37:12.037Z,r3089562,Houses And Homes,4000,4000,3,3,3,3,1,[2282],Virginia/Arlington/r3089562,8557626079,8557626079,"['r3047720', 'r2967259', 'r3075465', 'r3089271']",,,"[{'path': '/imgr/787b6a7bf09ef7d5e52eb27b7406976a/', 'caption': 'front of house.jpg'}]",,601 23rd st s,,,no_value_available,RentClicks.com,richardsalas,False,False,False,False,4000,4000,3,3,3,3,
7804 Marconi Court,Springfield,VA,22153,r2993284,True,"38.726644,-77.214247",False,2020-06-15T23:05:34.460Z,r2993284,Townhouses And Condos,2400,2400,4,4,2,2,1,[2000],Virginia/Springfield/r2993284,8552470132,8552470132,"['r3088428', 'r3088106', 'r3084547', 'r3086212']",,,"[{'path': '/imgr/dde4c6c7b10c3cb31559dd6d391015a2/', 'caption': 'IMG_4303.jpg'}]",,7804 Marconi Court,,,no_value_available,RentClicks.com,Chris Oliver,False,False,False,False,2400,2400,4,4,2,2,
4630 Hillside Rd SE 3,Washington,DC,20019,r3085219,True,"38.876696,-76.932774",False,2020-06-25T20:45:20.273Z,r3085219,Houses And Homes,1795,1795,3,3,1,1,0,[600],District-of-Columbia/Washington/r3085219,8444686549,8444686549,"['r3085226', 'r2871182', 'r3091037', 'r3073009']",,,"[{'path': '/imgr/7090dabe4f73b5df69e808fe21b75ef3/', 'caption': '1.JPG'}]",,4630 Hillside Rd SE 3,,,no_value_available,RentClicks.com,REZI,False,False,False,False,1795,1795,3,3,1,1,
2200 Pimmit Run Apt 2,Fallschurch,VA,22043,r3089332,True,"38.901675,-77.205963",False,2020-06-08T13:20:05.147Z,r3089332,Apartments,1610,1610,2,2,1,1,0,[1200],Apartments/Virginia/Falls-Church/r3089332,8442127481,8442127481,"['r3090985', 'r3090986', 'r3092168', 'r3090698']",,,"[{'path': '/imgr/b97d1ea5e79d284d18dab3fd9fbf3086/', 'caption': 'IMG_20200606_222736.jpg'}]",,2200 Pimmit Run Apt 2,,,no_value_available,RentClicks.com,suswariadla,False,False,False,False,1610,1610,2,2,1,1,
10679 Glen Hannah Dr,Laurel,MD,20723,r3088378,True,"39.143805,-76.880504",False,2020-06-26T01:09:49.020Z,r3088378,Townhouses And Condos,2000,2000,3,3,2,2,1,[1785],Maryland/Laurel/r3088378,8555630968,8555630968,"['r3054787', 'r3092323', 'r3091003', 'r3076861']",,,"[{'path': '/imgr/8c2cf543af6e88ca4cd22dff5328c762/', 'caption': 'deck.jpg'}]",,10679 Glen Hannah Dr,,,no_value_available,RentClicks.com,SachinShah,False,False,False,False,2000,2000,3,3,2,2,
7936 Quidditch Ln,Elkridge,MD,21075,r3089929,True,"39.180405,-76.772295",False,2020-06-10T16:05:16.477Z,r3089929,Townhouses And Condos,2700,2700,4,4,3,3,1,[2210],Maryland/Elkridge/r3089929,8442850943,8442850943,"['r3086137', 'r3054787', 'r3092323', 'r3084965']",,,"[{'path': '/imgr/d9f4ed5b83cd173996199486d2563bec/', 'caption': 'unnamed (1).jpg'}]",,7936 Quidditch Ln,,,no_value_available,RentClicks.com,LateshiaWright,False,False,False,False,2700,2700,4,4,3,3,
304 York Street,Woodland,WA,98674,r2859558,True,"38.905139,-77.015277",False,2020-06-26T06:45:56.197Z,r2859558,Houses And Homes,2095,2095,3,3,2,2,1,[],Washington/Woodland/r2859558,8552832447,8552832447,"['r3090524', 'r3090683', 'r3091383', 'r3084233']",,,"[{'path': '/imgr/c46992ba1d6d46d312ec75b5ee7bb067/', 'caption': None}]",,304 York Street,,,no_value_available,RentClicks.com,American Homes 4 Rent,False,False,False,False,2095,2095,3,3,2,2,
2304 Cedley St,Baltimore,MD,21230,r911740,True,"39.262366,-76.632705",False,2020-06-24T20:55:17.140Z,r911740,Houses And Homes,900,900,3,3,1,1,0,[1144],Maryland/Baltimore/r911740,8444218857,8444218857,,['Westport'],,"[{'path': '/imgr/b4ef636dbfb3cb1413c9d11385255dcc/', 'caption': 'Front of House.jpg'}]",,2304 Cedley St,,,no_value_available,RentClicks.com,"RGH Real Estate Investors, LLC",False,False,False,False,900,900,3,3,1,1,
4630 Hillside Rd SE 4,Washington,DC,20019,r3085226,True,"38.876696,-76.932774",False,2020-06-25T20:45:15.833Z,r3085226,Houses And Homes,1795,1795,3,3,1,1,0,[600],District-of-Columbia/Washington/r3085226,8444667177,8444667177,"['r3085219', 'r2871182', 'r3091037', 'r3073009']",,,"[{'path': '/imgr/a6c9223cf4566202a8c98911727f06c6/', 'caption': '4.JPG'}]",,4630 Hillside Rd SE 4,,['r3089290'],no_value_available,RentClicks.com,REZI,False,False,False,False,1795,1795,3,3,1,1,
5804 Oleander Place Unit E,Frederick,MD,21703,r2937725,True,"39.393653,-77.428640",False,2020-06-23T04:16:07.303Z,r2937725,Houses And Homes,1420,1420,3,3,2,2,0,[1210],Maryland/Frederick/r2937725,8553968834,8553968834,"['r3088856', 'r3090102', 'r3083383', 'r3091542']",,,"[{'path': '/imgr/a57920544d6a8ed81ec9971c5f72faf9/', 'caption': 'photo 3.jpeg'}]",,5804 Oleander Place Unit# E,,,no_value_available,RentClicks.com,Yan Leng,False,False,False,False,1420,1420,3,3,2,2,
7814 Adelphi Court,Adelphi,MD,20783,r3089346,True,"38.987385,-76.957577",False,2020-06-08T12:55:10.847Z,r3089346,Houses And Homes,2375,2375,4,4,2,2,0,[2010],Maryland/Hyattsville/r3089346,8442127479,8442127479,"['r3091187', 'r3090636', 'r3087615', 'r3089290']",,,"[{'path': '/imgr/f6267e5749bbbc7c01f356e47391e259/', 'caption': '3ha1xnu772d7x.jpg'}]",,7814 Adelphi Court,,,no_value_available,RentClicks.com,EvanFeatherstone,False,False,False,False,2375,2375,4,4,2,2,
14101 Manchester Rd,Upper Marlboro,MD,20774,r1434560,True,"38.854279,-76.760192",False,2020-06-09T01:01:35.813Z,r1434560,Houses And Homes,1950,1950,4,4,2,2,1,[2000],Maryland/Upper-Marlboro/r1434560,3016330819,3016330819,"['r2871182', 'r3085219', 'r3085226', 'r3087615']",,,"[{'path': '/imgr/449788344b1febc377ba388ba9469eea/', 'caption': 'IMG_1329.JPG'}]",,14101 Manchester Rd,,['r3087615'],no_value_available,Rentals.com,Raymond Anderson,False,False,False,False,1950,1950,4,4,2,2,
218 South Augusta Avenue,Baltimore,MD,21229,r3064781,True,"39.282275,-76.684907",False,2020-06-16T13:15:18.180Z,r3064781,Apartments,425,425,0,0,1,1,0,[120],Apartments/Maryland/Baltimore/r3064781,8447485335,8447485335,"['r3071411', 'r3091959', 'r3091257', 'r3092576']",,,"[{'path': '/imgr/2a76a679cb771a792154fc31b6773071/', 'caption': 'Front of House.JPG'}]",,218 South Augusta Avenue,,,no_value_available,RentClicks.com,RGH Real Estate Investors,False,False,False,False,425,425,0,0,1,1,
2937 Lawrence Drive,Falls Church,VA,22042,r3093480,True,"38.869603,-77.201285",False,2020-06-25T19:50:06.453Z,r3093480,Houses And Homes,3328,3328,5,5,4,4,0,[2942],Virginia/Falls-Church/r3093480,8444612801,8444612801,,,,"[{'path': '/imgr/278785e9af07ffd5e53375493990c7cd/', 'caption': 'Front view'}]",,2937 Lawrence Drive,,,no_value_available,RentClicks.com,JohnFreeman,False,False,False,False,3328,3328,5,5,4,4,
3031 ELLIOTT ST,Baltimore,MD,21224,r3064878,True,"39.279092,-76.572928",False,2020-06-26T09:11:21.147Z,r3064878,Houses And Homes,1595,1595,2,2,1,1,1,[1180],Maryland/Baltimore/r3064878,8443904561,8443904561,"['r3088024', 'r3091327', 'r3084036', 'r3092045']",['Baltimore'],,"[{'path': '/imgr/1428c728a99081fe273cf28976cf5eac/', 'caption': None}]",,3031 ELLIOTT ST,,,no_value_available,RentClicks.com,Renters Warehouse,False,False,False,False,1595,1595,2,2,1,1,
41 Sandstone Ct,Baltimore,MD,21236,r3093549,True,"39.409003,-76.488970",False,2020-06-26T12:08:17.297Z,r3093549,Houses And Homes,1695,1695,3,3,2,2,1,[1320],Maryland/Nottingham/r3093549,8445404766,8445404766,,['Baltimore'],,"[{'path': '/imgr/32e3aea01fffe041371c0d204dcfa4e9/', 'caption': None}]",,41 Sandstone Ct,,,no_value_available,RentClicks.com,Renters Warehouse,False,False,False,False,1695,1695,3,3,2,2,
1423 N Rhodes Street Unit 302,Arlington,VA,22209,r3093613,True,"38.890535,-77.078665",False,2020-06-26T15:05:33.160Z,r3093613,Houses And Homes,3250,3250,2,2,2,2,0,[1383],Virginia/Arlington/r3093613,8445158131,8445158131,,,,"[{'path': '/imgr/a8c9c48f3f1e709e75c25e7c0788c4fd/', 'caption': None}]",,1423 N Rhodes Street Unit 302,,,no_value_available,RentLinx,"EJF Real Estate Services, Inc.",False,False,False,False,3250,3250,2,2,2,2,
1727 Massachusetts Ave NW Unit 309,Washington,DC,20036,r3086208,True,"38.908343,-77.039278",False,2020-06-26T13:34:50.590Z,r3086208,Houses And Homes,1690,1690,0,0,1,1,0,[453],District-of-Columbia/Washington/r3086208,8448964994,8448964994,"['r3086035', 'r3076089', 'r3073883', 'r3084233']",,,"[{'path': '/imgr/5ed596f0fc0c0d16fad1f89b4223b65e/', 'caption': None}]",,1727 Massachusetts Ave NW Unit 309,,,no_value_available,RentLinx,Nest DC LLC,False,False,False,False,1690,1690,0,0,1,1,
191 Somervelle Street Unit 105,Alexandria,VA,22304,r3086212,True,"38.808748,-77.116688",False,2020-06-26T13:35:25.737Z,r3086212,Houses And Homes,1950,1950,2,2,2,2,0,[1067],Virginia/Alexandria/r3086212,8442322871,8442322871,"['r3084547', 'r3090684', 'r3089271', 'r3086034']",,,"[{'path': '/imgr/003506275d01cea96dee310caeb12209/', 'caption': None}]",,"191 Somervelle Street, Unit 105",,,no_value_available,RentLinx,OnPoint Property Tech - Northern Virginia,False,False,False,False,1950,1950,2,2,2,2,
408 Fortress Way,Occoquan,VA,22125,r2398595,True,"38.684133,-77.263484",False,2020-06-26T13:32:04.747Z,r2398595,Houses And Homes,2100,2100,2,2,2,2,0,[2098],Virginia/Occoquan/r2398595,8446708892,8446708892,,,,"[{'path': '/imgr/351cc765144c11f95e638433d1714ac8/', 'caption': None}]",,408 Fortress Way,,,no_value_available,RentLinx,Riverside Property Management,False,False,False,False,2100,2100,2,2,2,2,
8717 Hayshed Ln,Columbia,MD,21045,r3093548,True,"39.210072,-76.811948",False,2020-06-26T12:09:25.730Z,r3093548,Houses And Homes,1495,1495,2,2,2,2,0,[1022],Maryland/Columbia/r3093548,8445128813,8445128813,,['Columbia'],,"[{'path': '/imgr/b2c1af3529671779ddd4a969b8a96030/', 'caption': None}]",,8717 Hayshed Ln,,,no_value_available,RentClicks.com,Renters Warehouse,False,False,False,False,1495,1495,2,2,2,2,
8434 Springfield Oaks Drive,Springfield,VA,22153,r3093459,True,"38.727400,-77.204643",False,2020-06-25T19:58:26.023Z,r3093459,Apartments,1150,1150,0,0,1,1,0,[402],Apartments/Virginia/Springfield/r3093459,8444388602,8444388602,,,,"[{'path': '/imgr/591dea462e7bef9347120b51d56a23f5/', 'caption': 'Studio Front townhouse.jpg'}]",,8434 Springfield Oaks Drive,,,no_value_available,RentClicks.com,VivianAlfaro,False,False,False,False,1150,1150,0,0,1,1,
9663 Brassie Way,Gaithersburg,MD,20886,r3093353,True,"39.175592,-77.202036",False,2020-06-26T09:10:16.190Z,r3093353,Houses And Homes,1485,1485,2,2,1,1,0,[1080],Maryland/Montgomery-Village/r3093353,8775930564,8775930564,,['Gaithersburg'],,"[{'path': '/imgr/2f69e79383515fe876b9785b8a2f888e/', 'caption': None}]",,9663 Brassie Way,,,no_value_available,RentClicks.com,Renters Warehouse,False,False,False,False,1485,1485,2,2,1,1,
8512 Lynwood Place,Chevy Chase,MD,20815,r3022960,True,"38.996134,-77.079268",False,2020-06-26T13:33:53.620Z,r3022960,Houses And Homes,3775,3775,4,4,3,3,1,[2300],Maryland/Chevy-Chase/r3022960,8442306409,8442306409,,,,"[{'path': '/imgr/ce9e3d9f8200391a780bbfdaf88ca550/', 'caption': None}]",,8512 Lynwood Place,,,no_value_available,RentLinx,"Walde Management, LLC",False,False,False,False,3775,3775,4,4,3,3,
8220 Crestwood Heights St Unit 1202,Mc Lean,VA,22102,r3093609,True,"38.929804,-77.228743",False,2020-06-26T15:05:17.757Z,r3093609,Houses And Homes,2300,2300,1,1,1,1,0,[903],Virginia/McLean/r3093609,8445157195,8445157195,,,,"[{'path': '/imgr/9dde2cf18191892ca5a0e0920ede9ec6/', 'caption': None}]",,"8220 Crestwood Heights St.,  Unit#1202",,,no_value_available,RentLinx,SMARTMAX LLC,False,False,False,False,2300,2300,1,1,1,1,
10212 Meredith Ave,Silver Spring,MD,20910,r3093180,True,"39.022116,-77.065868",False,2020-06-24T14:10:15.247Z,r3093180,Houses And Homes,1050,1050,1,1,1,1,0,[1200],Maryland/Silver-Spring/r3093180,8448836673,8448836673,,,,"[{'path': '/imgr/d37ac4060ce6ac11e3f01411909c9ae9/', 'caption': '1.JPG'}]",,10212 Meredith Ave,,,no_value_available,RentClicks.com,JakeSimms,False,False,False,False,1050,1050,1,1,1,1,
1701 21st St NW 4 B,Washington,DC,20009,r3073883,True,"38.912795,-77.046428",False,2020-06-13T07:05:20.807Z,r3073883,Apartments,5086,5086,2,2,1,1,0,[625],Apartments/District-of-Columbia/Washington/r3073883,8552709281,8552709281,"['r3086035', 'r3086208', 'r3055624', 'r3090670']",,,"[{'path': '/imgr/07443e03b5d05775ee200c60c7a4e13f/', 'caption': '18.JPG'}]",,1701 21st St NW #4B,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,5086,5086,2,2,1,1,
12013 Montrose Park Pl,Rockville,MD,20852,r3021316,True,"39.052358,-77.128630",False,2020-06-26T13:34:07.560Z,r3021316,Houses And Homes,4000,4000,4,4,3,3,1,[2372],Maryland/Rockville/r3021316,8448758840,8448758840,,,,"[{'path': '/imgr/d5df9d7f203727bf01b24d60d5d80291/', 'caption': None}]",,12013 Montrose Park Pl.,,,no_value_available,RentLinx,Shmul Development Corporation,False,False,False,False,4000,4000,4,4,3,3,
1519 Martock Ln,Hanover,MD,21076,r3093101,True,"39.162943,-76.732578",False,2020-06-26T09:10:30.453Z,r3093101,Houses And Homes,2395,2395,4,4,3,3,1,[2040],Maryland/Hanover/r3093101,8448805033,8448805033,,['Hanover'],,"[{'path': '/imgr/aa37eaa7ef99bb63d36c61673cdd4858/', 'caption': None}]",,1519 Martock Ln,,,no_value_available,RentClicks.com,Renters Warehouse,False,False,False,False,2395,2395,4,4,3,3,
2601 Virginia Ave NW 432,Washington,DC,20037,r3075443,True,"38.900282,-77.055332",False,2020-06-15T10:34:17.190Z,r3075443,Apartments,3675,3675,0,0,1,1,0,[392],Apartments/District-of-Columbia/Washington/r3075443,8557282691,8557282691,"['r3076055', 'r3076074', 'r3076076', 'r3076078']",,,"[{'path': '/imgr/fffcceef7dee70b0efe82bd0ed0af2de/', 'caption': '14.JPG'}]",,2601 Virginia Ave NW #432,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,3675,3675,0,0,1,1,
3500 Elliott Street,Baltimore,MD,21224,r3093206,True,"39.279669,-76.567516",False,2020-06-26T13:37:39.727Z,r3093206,Houses And Homes,3600,3600,4,4,3,3,1,[],Maryland/Baltimore/r3093206,8448758848,8448758848,,,,"[{'path': '/imgr/0a69470439ca0e9af88592e1fed0a10f/', 'caption': None}]",,3500 Elliott Street,,,no_value_available,RentLinx,TDH Management LLC,False,False,False,False,3600,3600,4,4,3,3,
6 Rhode Island Ave NW Unit 4,Washington,DC,20001,r3093192,True,"38.916408,-77.009333",False,2020-06-26T13:32:21.340Z,r3093192,Houses And Homes,2100,2100,2,2,2,2,0,[585],District-of-Columbia/Washington/r3093192,8448551525,8448551525,,,,"[{'path': '/imgr/d2228b2c6967889487362876a1c7c713/', 'caption': None}]",,6 Rhode Island Ave NW Unit 4,,,no_value_available,RentLinx,Nest DC LLC,False,False,False,False,2100,2100,2,2,2,2,
77 Brooks Rd,Arnold,MD,21012,r3092934,True,"39.043023,-76.509824",False,2020-06-23T15:10:04.807Z,r3092934,Houses And Homes,3000,3000,4,4,2,2,1,[2500],Maryland/Arnold/r3092934,8448606961,8448606961,,,,"[{'path': '/imgr/9718766db900ccaaa3cb9c0b29ce76f8/', 'caption': 'IMG_4885.jpeg'}]",,77 Brooks Rd,,,no_value_available,RentClicks.com,LetitiaGallant,False,False,False,False,3000,3000,4,4,2,2,
1900 Biltmore St NW 3,Washington,DC,20009,r3075178,True,"38.922310,-77.044972",False,2020-06-13T07:31:29.743Z,r3075178,,5405,5405,2,2,2,2,0,[760],District-of-Columbia/Washington/r3075178,8442242691,8442242691,"['r3075206', 'r3076116', 'r3090670', 'r3088783']",,,"[{'path': '/imgr/8f8aa4759f749ed19cf317f8bb6e65fa/', 'caption': '16.jpg'}]",,1900 Biltmore St NW #3,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,5405,5405,2,2,2,2,
4101 Albemarle St NW Unit 532,Washington,DC,20016,r3085510,True,"38.948047,-77.079660",False,2020-06-26T13:32:10.197Z,r3085510,Houses And Homes,1795,1795,1,1,1,1,0,[725],District-of-Columbia/Washington/r3085510,8443302528,8443302528,"['r3084246', 'r3090523', 'r3037366', 'r3076343']",,,"[{'path': '/imgr/458a359dc7acba91c8d82473cd2d1069/', 'caption': None}]",,4101 Albemarle St NW Unit 532,,,no_value_available,RentLinx,Nest DC LLC,False,False,False,False,1795,1795,1,1,1,1,
1900 Biltmore St NW 7,Washington,DC,20009,r3075206,True,"38.922310,-77.044972",False,2020-06-15T13:56:53.603Z,r3075206,,5405,5405,2,2,2,2,0,[760],District-of-Columbia/Washington/r3075206,8555213703,8555213703,"['r3075178', 'r3076116', 'r3090670', 'r3088783']",,,"[{'path': '/imgr/7950617c871ef7a9162c26668d065e62/', 'caption': '14.jpg'}]",,1900 Biltmore St NW #7,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,5405,5405,2,2,2,2,
2601 Virginia Ave NW 316,Washington,DC,20037,r3076101,True,"38.900282,-77.055332",False,2020-06-15T10:01:56.090Z,r3076101,Apartments,3770,3770,0,0,1,1,0,[392],Apartments/District-of-Columbia/Washington/r3076101,8664435874,8664435874,"['r3075443', 'r3076055', 'r3076074', 'r3076076']",,,"[{'path': '/imgr/ceea4f3eae4ea5f3cc83c82aefe89d04/', 'caption': '20.jpg'}]",,2601 Virginia Ave NW #316,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,3770,3770,0,0,1,1,
2601 Virginia Ave NW 318,Washington,DC,20037,r3076108,True,"38.900282,-77.055332",False,2020-06-15T10:05:06.687Z,r3076108,Apartments,3770,3770,0,0,1,1,0,[392],Apartments/District-of-Columbia/Washington/r3076108,8666149956,8666149956,"['r3075443', 'r3076055', 'r3076074', 'r3076076']",,,"[{'path': '/imgr/9927fb2e8a66863e801fc8c921de0904/', 'caption': '16.jpg'}]",,2601 Virginia Ave NW #318,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,3770,3770,0,0,1,1,
2601 Virginia Ave NW 317,Washington,DC,20037,r3076083,True,"38.900282,-77.055332",False,2020-06-15T10:00:18.170Z,r3076083,Apartments,3770,3770,0,0,1,1,0,[392],Apartments/District-of-Columbia/Washington/r3076083,8666098429,8666098429,"['r3075443', 'r3076055', 'r3076074', 'r3076076']",,,"[{'path': '/imgr/05fc7c9da7f132b794f9d0c4e01025f6/', 'caption': '18.JPG'}]",,2601 Virginia Ave NW #317,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,3770,3770,0,0,1,1,
2601 Virginia Ave NW 320,Washington,DC,20037,r3076111,True,"38.900282,-77.055332",False,2020-06-15T10:10:15.620Z,r3076111,Apartments,3770,3770,0,0,1,1,0,[392],Apartments/District-of-Columbia/Washington/r3076111,8774182013,8774182013,"['r3075443', 'r3076055', 'r3076074', 'r3076076']",,,"[{'path': '/imgr/ad2934222df6fde7827a5233c1365ccd/', 'caption': '1.jpg'}]",,2601 Virginia Ave NW #320,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,3770,3770,0,0,1,1,
2601 Virginia Ave NW 330,Washington,DC,20037,r3076074,True,"38.900282,-77.055332",False,2020-06-15T10:02:32.210Z,r3076074,Apartments,3770,3770,0,0,1,1,0,[358],Apartments/District-of-Columbia/Washington/r3076074,8667875172,8667875172,"['r3075443', 'r3076055', 'r3076076', 'r3076078']",,,"[{'path': '/imgr/0cc8be3d1183240eb2e09662ff0cca64/', 'caption': '18.JPG'}]",,2601 Virginia Ave NW # 330,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,3770,3770,0,0,1,1,
2601 Virginia Ave NW 326,Washington,DC,20037,r3076090,True,"38.900282,-77.055332",False,2020-06-15T10:15:27.473Z,r3076090,Apartments,3770,3770,0,0,1,1,0,[395],Apartments/District-of-Columbia/Washington/r3076090,8775231405,8775231405,"['r3075443', 'r3076055', 'r3076074', 'r3076076']",,,"[{'path': '/imgr/24f93411a30233129f345f1102eaf5ed/', 'caption': '18.JPG'}]",,2601 Virginia Ave NW #326,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,3770,3770,0,0,1,1,
2601 Virginia Ave NW 313,Washington,DC,20037,r3076100,True,"38.900282,-77.055332",False,2020-06-15T10:31:39.913Z,r3076100,Apartments,3770,3770,0,0,1,1,0,[392],Apartments/District-of-Columbia/Washington/r3076100,8882732940,8882732940,"['r3075443', 'r3076055', 'r3076074', 'r3076076']",,,"[{'path': '/imgr/0643b991c956f995e83a064712bb9d16/', 'caption': '15.jpg'}]",,2601 Virginia Ave NW #313,,,no_value_available,RentClicks.com,Zeus Living,False,True,False,False,3770,3770,0,0,1,1,
